,text,label
4," We eat a lot of sweet corn , broccoli and eggplant . ",0
3," Actually , you might because there ' s a big convention in town this weekend . ",0
8, weren't you scared ? ,0
7," Ok , there is no cash advance anymore for short trips . You have to pay out of your own pocket , so save all the receipts from your business trip . And then attach them to your expense account . When you get back , our company will reimburse everything . ",0
10," Well , at the moment we are trying to work out those details . We haven't managed to come up with a concrete plan yet , but we are working on it . ",0
3," You're right.If I were the teacher , I wouldn't have done that . ",0
2, I don't know exactly . ,0
14," oh , thank you . I'm going to the library , are you coming ? ",0
3, Not really . What about you ? ,0
3, I think it'll be here pretty soon . ,0
9," No , but I have database programming experience and network knowledge . ",0
5, I need to find this newspaper article . ,0
9, that's very nice of you to say so . I'll try my best . When will you start at the new position ? ,0
3," It doesn't matter , Mr.Lin . I can understand . I know you are always very busy . Work must come first . ",0
7, Does that include breakfast ? Can I make calls on outside line ? ,0
19," Alright , I'm twisting it around . You tell me when to stop . ",0
0,Welcome to Adventure Tours . How may I help you ? ,0
0,"Hello , Could you please connect me to Mr . Cook's office ? It is on Line Three . ",0
3, Hydrochlorothiazide is a diuretic that helps you with water retention . ,0
0,Do you mind if I smoke here ? ,0
0,"Excuse me , how can I fill in this blank ? What does marital status mean ? ",0
4, It's OK . Don't worry about it . Our school coach will train us to play basketball . ,0
3," I think so , too . ",0
2, What materials do they need in order to apply the passport ? ,0
7," Yup , better for the environment and better for us ! ",0
4," Buy them now though , or they might not still be here tomorrow . ",0
3," Well , feel free to drop by my office any time . The door ' s always open . ",0
0,I want to reserve a VIP room at 7:00 this evening . ,0
0,"Hello , Catherine . Would you like to go out tomorrow ? ",0
3," No , it will be another hour . ",0
1, I have a problem with this check . ,0
2, Why do you like it best ? ,0
7, That's a good idea . Why have I never thought of that ? ,0
6, it reflects some of our difficulties in this ever-changing world . ,0
7, Never ! But thank you for inviting me . ,0
2, What problem ? ,0
8," I will keep my room clean , too . That's a promise . ",0
9, Their family is very similar to Cindy and Ron ' s family . ,0
2, That explains it . ,0
2, Why not go the youth restaurant ? You will have a happy lunch there . ,0
