text,label
"What you guys don't understand is, for us, kissing is as important as any part of it.",1
"Yeah, right!.......Y'serious?",0
"Oh, yeah!",1
Everything you need to know is in that first kiss.,5
Absolutely.,5
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",1
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",0
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",3
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",6
....Are we still talking about sex?,1
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",2
"Well, she has issues.",6
Does she.,2
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",3
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",0
"Speaking of issues, isn't that your ex-wife?",3
No. No.,2
"Yes, it is. Carol! Hi!",1
Hi.,0
So.,0
"You look great. I, uh... I hate that.",2
Sorry. You look good too.,1
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",1
A lesbian?,0
"Well... you never know. How's, um.. how's the family?",4
"Marty's still totally paranoid. Oh, and, uh-",3
"Why- why are you here, Carol?",2
I'm pregnant.,0
Pregnant?!,2
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",0
Hi.,0
"Ross, you remember Susan.",0
How could I forget?,3
Ross.,0
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",0
Dr. Oberman.,0
..Dr. Oberman. Okay. And is he-,0
She.,0
"she, of course, she- uh- familiar with our.. special situation?",0
"Yes, and she's very supportive.",0
"Okay, that's great. No, I'm- Oh.",0
Thanks.,0
"Quack, quack..",1
Ross? That opens my cervix.,2
Barry?,0
C'mon in.,0
Are you sure?,2
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",0
Huh?!,2
"So, how ya doin?",4
I'm- uh- I'm okay... You look great!,6
"Yeah, well..",0
"Dr. Farber, Jason Greenstein's gagging.",0
Be right there. Be back in a sec.,0
I dumped him.,6
Okay.,0
Give me a 'for instance'.,3
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",2
Marlon-,5
Marlon?!,3
"-if it's a boy, Minnie if it's a girl.",5
...As in Mouse?,3
As in my grandmother.,0
Julia..,0
We agreed on Minnie.,5
Sorry about that. So. What have you been up to?,0
"Oh, not much. I-I got a job.",2
"Oh, that's great.",1
Why are- why are you so tanned?,2
"Oh, I, uh- I went to Aruba.",2
Oh no. You went on our honeymoon alone?,3
"No. I went with, uh.. Now, this may hurt.",0
Me?!,0
No! I went with Mindy.,2
"Mindy?! My maid of honour, Mindy?!",3
"Yeah, well, uh, we're kind of a thing now.",2
"Oh! Well, um.. You've got plugs!",3
Careful! They haven't quite taken yet.,3
And you've got lenses! But you hate sticking your finger in your eye!,3
"Not for her. Listen, I really wanted to thank you.",4
Okay..,3
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",0
Wow.,2
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",1
What?,2
Me.,6
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",6
"Well, thank you for giving it back.",6
Hello?!,2
"Oh, please! What's wrong with Helen?",3
Helen Geller? I don't think so.,3
Hello? It's not gonna be Helen Geller.,5
Thank you!,5
"No, I mean it's not Geller.",5
"What, it's gonna be Helen Willick?",3
"No, actually, um, we talked about Helen Willick-Bunch.",0
"Well, wait a minute, wha- why is she in the title?",3
It's my baby too.,5
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",3
"Yeah, and we all know what a challenge that is!",3
"All right, you two, stop it!",3
"No no no, she gets a credit, hey, I'm in there too.",3
