label,text
neu,Excuse me.
neu,Yeah.
neu,Is there a problem?
neu,Well what's the problem?  Let me change it.
fru,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.
fru,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?
fru,I'm here to get an ID.
fru,Like what?  Like a birth certificate?
fru,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?"
ang,That's out of control.
fru,How long have you been working here?
neu,"Clearly.  You know, do you have like a supervisor or something?"
fru,That would - I would appreciate that.  Yeah.
fru,Do you have your forms?
fru,Let me see them.
fru,Who told you to get in this line?
fru,Okay. But I didn't tell you to get in this line if you are filling out this particular form.
fru,This form is a Z.X.four.
fru,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID."
fru,No. I need another set of ID to prove this is actually you.
fru,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.
fru,"No.  I need another ID, a separate one."
fru,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?"
fru,"Yeah.  We keep it on file, but we need an ID to access that file."
ang,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
ang,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
sad,Did you get the mail? So you saw my letter?
sad,Yeah.  I know.
sad,I don't know.  I put in that. request too. They didn't...
neu,"I guess, you know, everybody has to make sacrifices."
sad,"There's people that have given more though, you know?"
sad,I know.
neu,"There's babies over there, though, that need mothers."
sad,"Just, you know, kicking myself."
sad,things just aren't what they seem.
sad,"If not me then, who?"
sad,"You'll videotape everything, yeah?"
sad,"Maybe you can send it to me, like stream it, yeah?"
sad,Last month--  Yeah.
neu,I have to find sitters.
sad,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street."
neu,And your mother is close by.
sad,I'll send you lots of letters.
sad,And I want lots and lots and lots of pictures.
sad,"I don't understand.  You've already done so much, I don't know why do you have to go back."
fru,I just don't see how they can make you leave when you have a new baby - we have a new kid.
sad,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.
fru,I know.
sad,I just don't see why it has to be you.
sad,What am I going to do? Huh?
sad,Yeah.
neu,Don't you guys have access to computers over there.
sad,I just don't know how I'm going to do it without you.
sad,I can't raise a baby by myself.  How?
neu,I know.
fru,It's just not fair.
hap,Well Vegas was awesome.
hap,"And, um, I got married."
hap,Yeah.  In the old town part.
hap,Um- Yes.  It was very romantic.
hap,It was at the slot machines.
hap,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride."
hap,"Yeah.  Well.  You know, because he's leaving the next day."
hap,But we're going to have a honeymoon cruise.
hap,Oh.  I hadn't even thought about that.
hap,Oh.  Totally.
hap,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]
exc,"Yeah, so [LAUGHTER] He's calling me now"
hap,"He likes to keep tabs, you know."
neu,"Uh, I think seven hundred and fifty dollars."
neu,Penny slots. That's what he plays.
neu,Yeah.
hap,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-
neu,Fifty bucks. Mmhmm.
neu,Yeah.
hap,Well so now we're married. We have cat children.
hap,"We renamed Brenda, Lumber Janet."
hap,She needs a new name each state that we go into. [LAUGHTER]
neu,So what's up?  What's new?
neu,Yeah.  I heard.
exc,Who did you marry?
neu,He turned to you and was like...
hap,[LAUGHTER] That's really romantic.
neu,Yeah.
neu,"Does that mean that you're going to get citizenship, too, in- in England or whatever?"
neu,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?
hap,Like you need another one of those.[LAUGHTER]
hap,Is that your phone?
hap,He loves you.
neu,How much did he win at the slot?
neu,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.
neu,"But the pennies always get you because you end up spending like, you know, fifty bucks."
neu,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you."
exc,Awesome.
hap,[LAUGHTER] Cat babies.
neu,That's fair enough.
neu,"Uh, what?  Craig's List?  Oh the internet thing?"
neu,I don't know.  Isn't that-- that's all like escort services and things like that.
fru,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board."
neu,He just...
neu,you know what?  I heard about that job.  I applied for that.
fru,Yeah.  I saw a posting at the theatre.
neu,Yeah.
neu,I just- I mean I call people up and I tell them what I'm good at.
neu,Yeah.
fru,I'm there in front of them.  I'm telling them what I'm good at.
fru,Why?  It's a piece of paper.
fru,"I just don't want this paper trail, you know.  I just don't want things following me around, like-."
fru,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but..."
fru,"That's baloney, that's baloney."
fru,Please.
fru,you think that you're better than me because I don't have a car?
fru,"You know, you're riding the bus, too."
fru,Why?  What choice?
fru,You're saving the environment. mmhmm
fru,Interesting.  That's fantastic.
ang,I'm not frustrated.
ang,Who do you think you are?
ang,You are so high and mighty.  I just--
ang,Oh.  I'm saving the environment. I'm riding this car because I- I want to.
ang,"The bus, I'm riding the bus because I want to."
ang,I can not-- you are not here by choice.  Nobody would ride this bus by choice.
neu,"Have you tried, uh, Craig's List?"
neu,Yeah.
neu,No.  There's regular jobs on there.
neu,Uh huh.
neu,I'm just saying I have a friend that got a good job on it so I was just recommending it.
neu,He's like a manager for a theatre.
neu,He's like a house manager. Yeah.  It's a good job.
neu,You did?
neu,Yeah.
neu,You've been looking for a job for a long time; that was a long time ago.  Right?
neu,Hmm.
neu,I don't know.  He had a really good resume I guess and--
neu,Yeah.  Do you have a resume?
neu,It's kind of helpful when getting a job.
neu,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.
neu,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--"
neu,"Yeah.  But the piece of paper helps, too."
neu,"No.  But it has an outline, you know."
neu,"I know.  Okay.  Well, um. Maybe--"
neu,Yeah.
neu,"Okay, yeah.  I would imagine."
neu,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now."
neu,maybe get a car.
neu,"I just, you know, think you should try a little harder maybe."
neu,I didn't say that.
neu,"I am riding the bus, but by choice."
neu,"To save the environment, carpool."
neu,Yes.  One less car at a time.
neu,Mmhmm.
fru,"You know, you don't have to take out your frustration on me, you know, just because..."
fru,...you can't get a job and refuse to have a resume.
neu,I don't think I'm anyone.
neu,I- I-I didn't-- okay.
fru,What? Oh.  So now you're...
fru,you know what?  You don't have to take your anger and your hurt out on me.
fru,Hi.
fru,Yeah. This is the fourth line that I have been in.
fru,I need my bag.
fru,"I flew in over three hours ago, I've been in four different lines."
fru,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.
fru,Nash.
fru,Yes.
ang,Flight seven fourteen.
ang,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?"
ang,Is this a joke?
ang,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline."
ang,"You're kidding me, this is a joke."
ang,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.
ang,We flew in from Paris.  I've been shopping for three weeks.
ang,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.
ang,Do you understand who my husband is?
ang,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it."
ang,Oh-Oh.  It's a gift.  You're-You're helping me out here?
ang,You are cruising for a bruising.  You are in so much trouble.
ang,Who's in charge?  Who is the president of Jet Blue?
ang,Because I probably know him.
ang,Yeah.
ang,"I don't want money, I want my clothes."
ang,What's your name?
ang,Okay.  I'll do that.
ang,I don't think you have done everything you could do because I don't have my bag here yet.
ang,A letter? I'll make a personal phone call.
neu,Hi.  Thanks for waiting.
hap,Can I help you?
hap,Uh huh.
