Sr No.,text,label
1,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0
2,You must've had your hands full.,0
3,That I did. That I did.,0
4,So let's talk a little bit about your duties.,0
5,My duties?  All right.,2
6,"Now you'll be heading a whole division, so you'll have a lot of duties.",0
7,I see.,0
8,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,0
9,Good to know.,0
10,We can go into detail,0
11,No don't I beg of you!,6
12,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",0
13,Really?!,2
14,Absolutely.  You can relax,0
15,But then who? The waitress I went out with last month?,2
16,You know? Forget it!,4
17,"No-no-no-no, no! Who, who were you talking about?",2
18,"No, I-I-I-I don't, I actually don't know",6
19,Ok!,0
20,"All right, well...",0
23,"Yeah, sure!",0
24,"Hey, Mon.",0
25,Hey-hey-hey. You wanna hear something that sucks.,0
26,Do I ever.,1
27,Chris says they're closing down the bar.,4
28,No way!,2
29,"Yeah, apparently they're turning it into some kinda coffee place.",0
30,Just coffee! Where are we gonna hang out now?,5
31,Got me.,4
32,Can I get a beer.,0
33,"Hey, did you pick a roommate?",0
34,You betcha!,1
35,Is it the Italian guy?,0
36,"Um-mm, yeah right!",1
37,"Oh my God, oh my God! Poor Monica!",2
38,"What, what, what?!",2
39,What?!,2
40,He was with her when he wrote this poem.,0
41,"Look,  'My vessel so empty with nothing inside.",0
42,"Now that I've touched you, you seem emptier still.'",0
43,"He thinks Monica is empty, she is the empty vase!",2
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",4
46,Done.,0
47,Hey!,2
48,Hi!,1
49,What are you doing here?,2
50,"Ah y'know, this building is on my paper route so I...",0
51,Oh.,0
52,Hi.,0
53,Hi.,0
54,How'd did it go?,0
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",1
56,I'm so proud of you.,1
57,Me too!,1
58,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",4
59,I know.,0
60,Yeah.,0
61,Yeah.,0
62,Ameri-can.,0
63,Ameri-ccan.,0
64,Ameri-can. Y'know it's a,0
65,Everybody!!,2
66,Good job Joe! Well done! Top notch!,1
67,You liked it? You really liked it?,2
68,"Oh-ho-ho, yeah!",1
69,Which part exactly?,0
70,The whole thing! Can we go?,0
71,"Oh no-no-no, give me some specifics.",3
72,"I love the specifics, the specifics were the best part!",1
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0
74,I was surprised to see a kangaroo in a World War I epic.,2
75,You fell asleep!!,3
76,There was no kangaroo!,3
77,They didn't take any of my suggestions!,3
78,That's for coming buddy.,0
79,I'll see you later.,0
80,Don't go!,4
81,I'm sorry.,4
82,I'm so sorry!,4
83,Look!,2
84,This guy fell asleep!,3
85,He fell asleep too!,3
86,Be mad at him!,3
87,"Or, call an ambulance.",3
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",0
89,"What?! What is with everybody? It's Thanksgiving, not...Truth-Day!",3
90,"Yes, and it is my dying wish to have that ring.",0
91,"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity",0
92,"Okay, that's enough honey!",0
93,I don't know.  Let me see the ring.,0
94,"Great! Okay, here.",1
95,All right.,0
96,Thank you. Thank you. Thank you!  And,1
97,What've you been up to?,0
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",0
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0
100,Can you hold on a moment? I have another call.  I love her.,1
101,I know.,0
102,I'm back.,0
103,"So, are we gonna get together or what?",0
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",0
105,"Great, I'll see you then.",0
106,Ok.  Ok. Having a phone has finally paid off.,1
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",0
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",0
109,Oh my god. You are pure evil.,5
110,"Ok, pure evil , horny and alone . I've done this",3
111,Nobody!,3
112,Nobody respects the bucket!,3
113,You wouldn't believe what people put in here!,3
114,Look!,3
115,"Okay, does this look like a garbage can to you?",3
116,No.,0
117,This is my wedding.,0
